epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,4285.93,0.72576,0.67819,1.1688,0.7912,0.54062,0.65494,0.42182,1.35156,1.34817,1.7313,0.000261864,0.000261864,0.000261864
167,4311.83,0.72766,0.68166,1.15262,0.77365,0.57543,0.6812,0.43519,1.36523,1.34404,1.72186,0.000254791,0.000254791,0.000254791
168,4337.53,0.72078,0.68981,1.1545,0.775,0.5788,0.66917,0.43589,1.35035,1.38963,1.73666,0.000247717,0.000247717,0.000247717
169,4363.47,0.72634,0.70555,1.17145,0.8109,0.55034,0.67551,0.44091,1.33815,1.3822,1.74494,0.000240644,0.000240644,0.000240644
170,4389.39,0.71754,0.65587,1.14425,0.71376,0.61069,0.67883,0.4398,1.34281,1.31935,1.73663,0.00023357,0.00023357,0.00023357
171,4415.34,0.71412,0.67244,1.15125,0.68753,0.61442,0.67083,0.43795,1.34548,1.33106,1.73053,0.000226497,0.000226497,0.000226497
172,4441.15,0.66197,0.61564,1.10039,0.76028,0.59538,0.68371,0.43983,1.32337,1.26883,1.73889,0.000219423,0.000219423,0.000219423
173,4466.91,0.7033,0.6295,1.14585,0.80319,0.59241,0.69115,0.44651,1.33426,1.24174,1.75467,0.000212349,0.000212349,0.000212349
174,4493.06,0.69126,0.62652,1.12741,0.83159,0.57889,0.69411,0.45013,1.3113,1.23642,1.74082,0.000205276,0.000205276,0.000205276
175,4525.36,0.71039,0.67011,1.1411,0.83291,0.5732,0.69907,0.45581,1.3402,1.26108,1.75849,0.000198202,0.000198202,0.000198202
176,4551.09,0.67608,0.59293,1.11077,0.78261,0.6046,0.69592,0.45359,1.33588,1.25321,1.76315,0.000191129,0.000191129,0.000191129
